X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
2777244.92361322,1013290.72820257,20669,140051,DISMAL SWAMP CANAL,DISMAL SWAMP PK TR,PEDESTRIAN WALKWAY,CAMDEN,60008013,25,25,60008013015,2777244.92361322,1013290.72820257,-76.35550786,36.50551347,0150051,1,"Local, Rural",FO,99,316,ABUTS.&APPR. RC CAPS/CCA TIM.PILES @ VAR.CTS.,"TIM. DECK /STL I-BEAMS (APPROACH), 2 BASCULE LEAFS, 1 PIVOTING PONTOON",99,99,1,0.03113948,"http://maps.google.com/maps?q=36.5055134696613,-76.3555078604652&z=20&ll=36.5055134696613,-76.3555078604652&t=k",11,5
1985150.84113789,783582.835585147,20746,670318,MANNING DR&NEW EAST DRIVE,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,ORANGE,WALKWAY,170,80,NA,1985150.84113789,783582.83558515,-79.05013978,35.90297329,0680318,7,"Local, Urban",FO,1,310,"END BENTS:BUILDINGS, INT. BENTS::STEEL CAPS & PILES, INT. BENTS#2-9: PILES CONCRETE ENCASED","RC DECK ON COVERED THROUGH TRUSS, PEDESTRIAN RAILS ON STRUCTURE",99,99,3,,"http://maps.google.com/maps?q=35.9029732911517,-79.0501397779746&z=20&ll=35.9029732911517,-79.0501397779746&t=k",04,1
1984000.44252005,784044.682102397,20747,670342,SR1902,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,ORANGE,WALKWAY,145,55,NA,1984000.44252005,784044.6821024,-79.05402507,35.90424041,0680342,7,"Other Principal Arterial, Urban",FO,1,310,END BENTS: REINFORCED CONCRETE ABUTMENTS,STEEL ARCHED THRU TRUSS W/ PRECAST CONCRETE PANEL EXTERIOR,99,99,3,,"http://maps.google.com/maps?q=35.9042404097069,-79.0540250696041&z=20&ll=35.9042404097069,-79.0540250696041&t=k",21,1
2027238.96332631,814148.685214475,20764,310603,US15/501BUS,AMERICAN TOBACCO T,PEDESTRIAN WALKWAY,DURHAM,WALKWAY,30,120,NA,2027238.96332631,814148.68521447,-78.90792904,35.98691757,0320603,5,"Other Principal Arterial, Urban",FO,1,310,"EBTS: RC ABUT; IBTS: RC HAMMERHEAD PIERS",THREE SPAN CONTINUOUS PONY TRUSS (THRU TRUSS),99,99,3,,"http://maps.google.com/maps?q=35.9869175709591,-78.9079290375887&z=20&ll=35.9869175709591,-78.9079290375887&t=k",25,1
1632960.84768464,851529.11504665,20786,330600,SR4315 ,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,FORSYTH,WALKWAY,120,180,NA,1632960.84768464,851529.11504665,-80.24215309,36.08332966,0340600,9,"Collector, Urban",FO,0,710,REINFORCED CONCRETE RETAINING WALLS,"PEDESTRIAN OVERPASS, COVERED TIMBER TRUSS (BURR ARCH DESIGN)",99,99,3,,"http://maps.google.com/maps?q=36.083329659814,-80.2421530861456&z=20&ll=36.083329659814,-80.2421530861456&t=k",04,1
2069567.81009889,728658.407048389,20822,911210,"US1,US64",PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,WAKE,WALKWAY,30,120,NA,2069567.81009889,728658.40704839,-78.76553532,35.75186642,0921210,5,"Principal Arterial - Other Freeways or Expressways, Urban",FO,99,312,"EBTS: RC ABUTS./PILE FTGS.; IBT: RC HAMMERHEAD PIER / PILE FTG.","RC DECK ON ARCHED STL. PONY TRUSS; SIP FORMS",99,99,3,,"http://maps.google.com/maps?q=35.7518664226327,-78.7655353236915&z=20&ll=35.7518664226327,-78.7655353236915&t=k",04,1
2484051.63368864,365760.200759649,20991,660316,NC24,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,ONSLOW,WALKWAY,350,260,NA,2484051.63368864,365760.20075965,-77.38859269,34.74418943,0670316,3,"Other Principal Arterial, Urban",FO,99,312,"E.BTS:RC CAPS/H-PILES; IBTS:RC CAPS ON RC COLUMNS IN RC FTGS & H-PILES","RC DECK ON STEEL TRUSS, SIP METAL FORMS",99,99,3,,"http://maps.google.com/maps?q=34.7441894335733,-77.3885926913694&z=20&ll=34.7441894335733,-77.3885926913694&t=k",04,1
697853.415737882,542553.442972973,21252,550370,PEDESTRIAN WALKWAY,WELLS GROVE ROAD,PEDESTRIAN WALKWAY,MACON,WALKWAY,,180,NA,697853.41573788,542553.44297297,-83.35828077,35.16221352,0560370,14,"Local, Rural",N,0,101,E.BTS RC,PEDESTRIAN WALKWAY PRECAST PRESTRESSED CONCRETE CORED SLAB,3,0,1,,"http://maps.google.com/maps?q=35.1622135230237,-83.3582807736758&z=20&ll=35.1622135230237,-83.3582807736758&t=k",04,0
2081645.85713696,762759.287993476,21264,911473,CRABTREE CREEK,UMSTEAD PARK TRAIL,PEDESTRIAN WALKWAY,WAKE,WALKWAY,,178,NA,2081645.85713696,762759.28799348,-78.72450988,35.84546566,0921473,5,"Local, Urban",FO,1,303,"END BENTS:TIMBER CAPS ON TIMBER PILES, INTERIOR BENTS:RC POST & BEAM",3 SUB & 2 TOP DIAGONAL FLOOR ON STEEL GIRDER FLOORBEAM SYSTEM,4,4,3,,"http://maps.google.com/maps?q=35.8454656649694,-78.7245098751306&z=20&ll=35.8454656649694,-78.7245098751306&t=k",11,5
1705496.79742873,806218.626927644,21271,401221,SR1113,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,GUILFORD,WALKWAY,25,115,NA,1705496.79742873,806218.62692764,-79.99515448,35.96111234,0411221,7,"Other Principal Arterial, Urban",FO,99,302,"STAIRWAY: RC; E-BTS: RC CAP ON STUB  WALL; I-BTS 1-2: PPC HAMMERHEAD PIERS",RC DECK ON CANTILEVERED PLATE GIRDERS: PEDESTRIAN OVERPASS,99,99,3,,"http://maps.google.com/maps?q=35.9611123361241,-79.9951544758263&z=20&ll=35.9611123361241,-79.9951544758263&t=k",04,1
1629731.53163671,860927.90924114,21316,330310,SR 1725,PEDESTRIAN WKWAY,PEDESTRIAN WALKWAY,FORSYTH,WALKWAY,130,40,NA,1629731.53163671,860927.90924114,-80.25348237,36.10903436,0340310,9,"Collector, Urban",FO,0,303,E.BTS:STL COLUMNS/CONC.FTSG,PEDESTRIAN WALKWAY ON STEEL GIRDER FLOORBEAM SYSTEM,99,99,3,,"http://maps.google.com/maps?q=36.1090343589248,-80.2534823663549&z=20&ll=36.1090343589248,-80.2534823663549&t=k",04,1
1632190.38728331,857361.576806888,21317,330418,LIBERTY STEET,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,FORSYTH,WALKWAY,100,10,NA,1632190.38728331,857361.57680689,-80.24500779,36.09932354,0340418,9,"Collector, Urban",FO,0,303,WALKWAY ATTACHED TO FACIAL VERTICAL WALL BUILDING,PEDESTRIAN WALKWAY ON STEEL ROLLED BEAM/ALUMINUM DECK,99,99,3,,"http://maps.google.com/maps?q=36.0993235430808,-80.2450077853377&z=20&ll=36.0993235430808,-80.2450077853377&t=k",04,1
1983657.81656489,787781.911832646,21413,670257,E. ROSEMARY ST.,PED. WLKWY (CLSD),PEDESTRIAN WALKWAY,ORANGE,WALKWAY,120,30,NA,1983657.81656489,787781.91183265,-79.05518902,35.91450672,0680257,7,"Local, Urban",FO,0,522,END BENTS: BUILDING WALL,PPC CHANNELS,0,0,3,,"http://maps.google.com/maps?q=35.9145067220184,-79.0551890163191&z=20&ll=35.9145067220184,-79.0551890163191&t=k",04,1
1775497.24830681,683851.818184063,21416,750577,AVIARY TRAIL,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,RANDOLPH,NA,345,255,NA,1775497.24830681,683851.81818406,-79.75548013,35.62664448,0760577,8,"Local, Rural",FO,1,101,END BENTS: REINFORCED CONCRETE,"REINFORCED CONCRETE SLAB (INV. RATING 196 PSF, OPERATING RATING 254 PSF)",99,99,3,,"http://maps.google.com/maps?q=35.6266444782926,-79.7554801290259&z=20&ll=35.6266444782926,-79.7554801290259&t=k",04,1
