X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
1694103.78576598,425586.745476395,451,030048,NORTH FORK JONES CREEK,SR1821,PIPE,ANSON,40001821,105.23,15.23,40001821004,1694103.78576598,425586.74547639,-80.02042916,34.9150546,0040048,10,"Local, Rural",N,3,319,SOIL CEMENT HEADWALLS,"4 LINES OF 114"" X 75"" CM PIPE ARCH, 50' 2"" ALONG CENTERLINE OF PIPE ARCH",99,99,1,2.49144315,"http://maps.google.com/maps?q=34.9150545962504,-80.0204291594552&z=20&ll=34.9150545962504,-80.0204291594552&t=k",01,5
1670913.42827539,406504.386659563,480,030082,MIDDLE FORK JONES CREEK,SR1120,PIPE,ANSON,40001120,19.2,109.2,40001120004,1670913.42827539,406504.38665956,-80.09707957,34.86194408,0040082,10,"Local, Rural",N,3,319,SOIL CEMENT HEADWALLS,"3 LINES 137X98 CM PIPE ARCH, 50'5 ALONG CENTERLINE PIPE",99,99,1,6.29368005,"http://maps.google.com/maps?q=34.8619440769301,-80.0970795667735&z=20&ll=34.8619440769301,-80.0970795667735&t=k",01,5
1671426.98236638,406713.239260226,481,030083,SOUTH FORK JONES CREEK,SR1120,PIPE,ANSON,40001120,22.2,112.2,40001120004,1671426.98236638,406713.23926023,-80.09537535,34.8625335,0040083,10,"Local, Rural",,7,319,,"2 LINES 103""'X 71"" CORRUGATED METAL PIPE ARCH, 50'-0"" ALONG CENTERLINE OF PIPE",99,99,1,6.39873496,"http://maps.google.com/maps?q=34.8625335038101,-80.0953753472266&z=20&ll=34.8625335038101,-80.0953753472266&t=k",01,5
1632094.79561096,491597.456302479,483,030085,CRIBB CREEK,NC742,PIPE,ANSON,30000742,122.1,32.1,30000742004,1632094.79561096,491597.45630248,-80.22999183,35.09449232,0040085,10,"Major Collector, Rural",N,3,119,,"SINGLE 37'10"" X 18' 0"" RC ARCH, 58' 6"" ALONG CENTERLINE OF ARCH",99,99,1,24.65318598,"http://maps.google.com/maps?q=35.0944923190649,-80.2299918252827&z=20&ll=35.0944923190649,-80.2299918252827&t=k",01,5
1648856.78439663,395180.453598812,486,030089,STILLHOUSE BRANCH,SR1112,PIPE,ANSON,40001112,321.9,231.9,40001112004,1648856.78439663,395180.45359881,-80.17015848,34.83013841,0040089,10,"Local, Rural",N,0,919,,"ONE LINE 25'-2""X 6'-2""  ALUMINUM BOX  CULVERT; 49.567' ALONG CENTERLINE OF PIPE",99,99,1,3.17534561,"http://maps.google.com/maps?q=34.8301384137472,-80.1701584752637&z=20&ll=34.8301384137472,-80.1701584752637&t=k",01,5
1618309.13978338,417973.871922642,492,030118,BRANCH OF BROWN CREEK,SR1228,PIPE,ANSON,40001228,27.58,117.58,40001228004,1618309.13978338,417973.87192264,-80.27291944,34.89173194,0040118,10,"Local, Rural",N,2,319,SOIL CEMENT HEADWALLS,"3 LINES 130""X93"" CM PIPE ARCH,52'3"" ALONG CENTERLINE PIPE ARCH",99,99,1,5.2562404,"http://maps.google.com/maps?q=34.8917319440317,-80.2729194406337&z=20&ll=34.8917319440317,-80.2729194406337&t=k",01,5
1609593.42066631,414305.083328471,493,030121,BROWN CREEK,SR1230,PIPE,ANSON,40001230,325.71,235.71,40001230004,1609593.42066631,414305.08332847,-80.30182218,34.88134124,0040121,10,"Local, Rural",N,2,319,TIMBER HEADWALLS,"3 LINES OF 96"" CM PIPE, 45'9"" ALONG CENTERLINE OF PIPE",99,99,1,0.81261195,"http://maps.google.com/maps?q=34.8813412429219,-80.3018221783702&z=20&ll=34.8813412429219,-80.3018221783702&t=k",01,5
1608112.79928371,415228.611337066,494,030123,UT TO BROWN CREEK,SR1230,PIPE,ANSON,40001230,276.89,186.89,40001230004,1608112.79928371,415228.61133707,-80.30679932,34.88382521,0040123,10,"Local, Rural",N,2,319,SOIL CEMENT HEADWALLS,"2 LINES OF 105"" X 72"" CM PIPE ARCH, 40'2"" ALONG CENTERLINE OF PIPE",99,99,1,0.45184294,"http://maps.google.com/maps?q=34.8838252121892,-80.3067993212773&z=20&ll=34.8838252121892,-80.3067993212773&t=k",01,5
1625317.97812788,442363.738497138,497,030133,UT TO BROWN CREEK,SR1240,PIPE,ANSON,40001240,125.91,35.91,40001240004,1625317.97812788,442363.73849714,-80.25057245,34.95898885,0040133,10,"Minor Collector, Rural",N,9,319,SOIL CEMENT HEADWALLS,"2 LINES 139"" X 96"" CM PIPE ARCH; 48'-1"" ALONG CENTERLINE PIPE ARCH",99,99,1,3.68843202,"http://maps.google.com/maps?q=34.9589888484358,-80.250572445408&z=20&ll=34.9589888484358,-80.250572445408&t=k",01,5
1625595.69902913,442033.915994063,498,030134,BROWN CREEK  OVERFLOW,SR1240,PIPE,ANSON,40001240,130,40,40001240004,1625595.69902913,442033.91599406,-80.24963174,34.95809226,0040134,10,"Minor Collector, Rural",N,7,319,SOIL CEMENT HEADWALLS,"3 LINES 139"" X 96"" CM PIPE ARCH; 48' ALONG CENTERLINE PIPE ARCH",99,99,1,3.60669773,"http://maps.google.com/maps?q=34.9580922582491,-80.2496317401727&z=20&ll=34.9580922582491,-80.2496317401727&t=k",01,5
