X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER,AADT,AADT_YR
1967024.12181397,844933.781124473,42339,670247,SR1144,RAILROAD OVERPASS,RAILROAD,ORANGE,RAILROAD,275,185,NA,1967024.12181397,844933.78112447,-79.11157939,36.07146955,0680247,7,"Collector, Urban",FO,1,302,END & INTERIOR BENTS:RC CAPS ON STEEL PILES,TIMBER TIES ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0714695546557,-79.1115793873447&z=20&ll=36.0714695546557,-79.1115793873447&t=k",27,1,,
2005194.07532956,956473.229304984,42377,720026,US158,N&W /RR,RAILROAD,PERSON,RAILROAD,314,270,NA,2005194.07532956,956473.22930498,-78.98235791,36.37789727,0730026,5,"Other Principal Arterial, Urban",FO,5,107,EBTS:-CONCRETE,RC,99,99,2,,"http://maps.google.com/maps?q=36.3778972657549,-78.9823579093107&z=20&ll=36.3778972657549,-78.9823579093107&t=k",27,1,,
2478253.12527256,677631.753852561,42378,730031,SR1598,NORFOLK SOUTH. RR,RAILROAD,PITT,RAILROAD,35,5,NA,2478253.12527256,677631.75385256,-77.39106693,35.6012539,0740031,2,"Minor Arterial, Urban",FO,7,302,REINFORCED CONCRETE CELLULAR ABUTMENTS,THRU PLATE GIRDER-CLOSED DECK,99,99,2,,"http://maps.google.com/maps?q=35.6012539019841,-77.391066934464&z=20&ll=35.6012539019841,-77.391066934464&t=k",27,1,,
2484332.62033139,677204.650376067,42379,730425,SR1707,NORFOLK SOUTH RR.,RAILROAD,PITT,RAILROAD,278,170,NA,2484332.62033139,677204.65037607,-77.37064161,35.59980819,0740425,2,"Minor Arterial, Urban",FO,3,302,RC PIERS,I-BEAMS & DECK PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.5998081895613,-77.3706416062144&z=20&ll=35.5998081895613,-77.3706416062144&t=k",27,1,,
1007118.69910897,551608.362527147,42396,740215,SR1102,SOUTHERN RR,RAILROAD,POLK,RAILROAD,65,165,NA,1007118.69910897,551608.36252715,-82.32507967,35.21995273,0750215,14,"Local, Rural",FO,7,303,TIM. & RC. BTS.,STL. GDR./FL.BM.SYS.(RAILROAD BRIDGE),99,99,2,,"http://maps.google.com/maps?q=35.2199527252946,-82.3250796665557&z=20&ll=35.2199527252946,-82.3250796665557&t=k",27,1,,
1000043.58333798,551372.233078137,42397,740216,SR1102 ,SCL RR,RAILROAD,POLK,RAILROAD,40,130,NA,1000043.58333798,551372.23307814,-82.34872909,35.21865094,0750216,14,"Local, Rural",FO,7,118,NULL,RAILROAD UNDERPASS TUNNEL,99,99,2,,"http://maps.google.com/maps?q=35.2186509416366,-82.3487290873058&z=20&ll=35.2186509416366,-82.3487290873058&t=k",27,1,,
1694866.25536963,789773.408833891,42402,750118,US29/US70/I85BUS.,RAILROAD OVERPASS,RAILROAD,RANDOLPH,RAILROAD,22,250,NA,1694866.25536963,789773.40883389,-80.03049672,35.9156393,0760118,8,"Principal Arterial - Other Freeways or Expressways, Urban",FO,1,302,"E.BT#1:RC CAP & STL.PILES, E.BT#2:RC SPILL THRU, INT.BTS:RCP&B",THRU PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.9156392979218,-80.03049672029&z=20&ll=35.9156392979218,-80.03049672029&t=k",27,1,,
1710701.97238581,781667.319731146,42403,750141,I85,C&N RAILWAY,RAILROAD,RANDOLPH,RAILROAD,32,320,NA,1710701.97238581,781667.31973115,-79.97675058,35.89381135,0760141,8,"Principal Arterial - Interstate, Urban",FO,1,302,"END BENTS:RC CAPS ON STEEL PILES,INT.BENTS:RC POST & BEAM",RC DECK ON PLATE GIRDERS & I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=35.8938113505351,-79.9767505831629&z=20&ll=35.8938113505351,-79.9767505831629&t=k",27,1,,
1756295.16531996,748073.495842814,42410,750224,"I73, US220",SOUTHERN RR,RAILROAD,RANDOLPH,RAILROAD,88,165,NA,1756295.16531996,748073.49584281,-79.82188396,35.80265963,0760224,8,"Principal Arterial - Interstate, Urban",FO,2,302,"E.BNTS:RC CAP ON STL.PILES, INT.BNTS:RC POST & BEAM, PILE FTGS",REINFORCED CONCRETE DECK ON HAUNCHED I-BEAMS & PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.802659628829,-79.8218839585886&z=20&ll=35.802659628829,-79.8218839585886&t=k",27,1,,
1797852.6642258,410379.398922637,42415,760014,NC381,S.C.L. R.R,RAILROAD,RICHMOND,RAILROAD,97,170,NA,1797852.6642258,410379.39892264,-79.67400562,34.87570277,0770014,8,"Collector, Urban",FO,1,302,ABUTMENTS:REINFORCED CONCRETE,ENCASED I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=34.8757027699491,-79.674005620471&z=20&ll=34.8757027699491,-79.674005620471&t=k",27,1,,
